date,twoPM,fourPM,ninePM
"'Jun 03, 2009'",'412','188','247'
"'Jun 04, 2009'",'016','717','684'
"'Jun 05, 2009'",'958','410','165'
"'Jun 06, 2009'",'747','597','098'
"'Jun 07, 2009'",'526','910','265'
"'Jun 08, 2009'",'574','041','157'
"'Jun 09, 2009'",'070','193','317'
"'Jun 10, 2009'",'786','798','868'
"'Jun 11, 2009'",'542','288','444'
"'Jun 12, 2009'",'781','942','084'
"'Jun 13, 2009'",'602','011','924'
"'Jun 14, 2009'",'128','752','369'
"'Jun 15, 2009'",'304','035','080'
"'Jun 16, 2009'",'037','863','562'
"'Jun 17, 2009'",'129','631','812'
"'Jun 18, 2009'",'604','793','872'
"'Jun 19, 2009'",'124','116','359'
"'Jun 20, 2009'",'347','203','014'
"'Jun 21, 2009'",'268','532','136'
"'Jun 22, 2009'",'394','735','252'
"'Jun 23, 2009'",'729','007','816'
"'Jun 24, 2009'",'921','475','349'
"'Jun 25, 2009'",'711','018','438'
"'Jun 26, 2009'",'438','375','943'
"'Jun 27, 2009'",'253','519','305'
"'Jun 28, 2009'",'594','294','701'
"'Jun 29, 2009'",'823','367','037'
"'Jun 30, 2009'",'403','553','449'
"'Jul 01, 2009'",'714','600','811'
"'Jul 02, 2009'",'456','323','279'
"'Jul 03, 2009'",'199','665','747'
"'Jul 04, 2009'",'743','752','913'
"'Jul 05, 2009'",'628','835','401'
"'Jul 06, 2009'",'679','109','400'
"'Jul 07, 2009'",'869','927','800'
"'Jul 08, 2009'",'763','757','901'
"'Jul 09, 2009'",'453','658','045'
"'Jul 10, 2009'",'174','714','938'
"'Jul 11, 2009'",'730','662','972'
"'Jul 12, 2009'",'610','599','331'
"'Jul 13, 2009'",'565','518','380'
"'Jul 14, 2009'",'415','166','232'
"'Jul 16, 2009'",'595','554','782'
"'Jul 17, 2009'",'957','089','672'
"'Jul 18, 2009'",'110','633','728'
"'Jul 19, 2009'",'222','201','654'
"'Jul 20, 2009'",'341','394','562'
"'Jul 21, 2009'",'565','377','720'
"'Jul 22, 2009'",'219','196','906'
"'Jul 23, 2009'",'857','357','020'
"'Jul 24, 2009'",'717','423','205'
"'Jul 25, 2009'",'224','699','042'
"'Jul 26, 2009'",'496','236','591'
"'Jul 27, 2009'",'918','633','337'
"'Jul 28, 2009'",'208','924','523'
"'Jul 29, 2009'",'098','904','332'
"'Jul 30, 2009'",'906','611','837'
"'Jul 31, 2009'",'028','538','944'
"'Aug 01, 2009'",'695','535','262'
"'Aug 02, 2009'",'786','146','363'
"'Aug 03, 2009'",'397','738','098'
"'Aug 04, 2009'",'150','348','607'
"'Aug 05, 2009'",'336','357','243'
"'Aug 06, 2009'",'533','449','328'
"'Aug 07, 2009'",'881','919','664'
"'Aug 08, 2009'",'781','613','847'
"'Aug 09, 2009'",'480','339','217'
"'Aug 10, 2009'",'884','103','889'
"'Aug 11, 2009'",'683','023','510'
"'Aug 12, 2009'",'249','947','277'
"'Aug 13, 2009'",'054','570','131'
"'Aug 14, 2009'",'751','081','359'
"'Aug 15, 2009'",'891','278','563'
"'Aug 16, 2009'",'911','597','368'
"'Aug 17, 2009'",'115','546','929'
"'Aug 18, 2009'",'865','583','148'
"'Aug 19, 2009'",'304','400','812'
"'Aug 20, 2009'",'717','190','903'
"'Aug 21, 2009'",'710','539','433'
"'Aug 22, 2009'",'243','431','232'
"'Aug 23, 2009'",'922','133','657'
"'Aug 24, 2009'",'560','436','880'
"'Aug 25, 2009'",'938','610','093'
"'Aug 26, 2009'",'450','188','421'
"'Aug 27, 2009'",'708','084','726'
"'Aug 28, 2009'",'129','111','728'
"'Aug 29, 2009'",'582','303','806'
"'Aug 30, 2009'",'158','065','836'
"'Aug 31, 2009'",'239','423','593'
"'Sep 01, 2009'",'447','003','082'
"'Sep 02, 2009'",'561','227','051'
"'Sep 03, 2009'",'059','013','757'
"'Sep 04, 2009'",'242','989','784'
"'Sep 05, 2009'",'175','731','649'
"'Sep 06, 2009'",'926','878','352'
"'Sep 07, 2009'",'264','411','838'
"'Sep 08, 2009'",'246','597','705'
"'Sep 09, 2009'",'640','049','932'
"'Sep 10, 2009'",'244','860','924'
"'Sep 11, 2009'",'758','138','980'
"'Sep 12, 2009'",'009','999','703'
"'Sep 13, 2009'",'439','866','328'
"'Sep 14, 2009'",'186','287','112'
"'Sep 15, 2009'",'933','252','807'
"'Sep 16, 2009'",'030','941','036'
"'Sep 17, 2009'",'051','757','032'
"'Sep 18, 2009'",'473','992','312'
"'Sep 19, 2009'",'331','149','724'
"'Sep 20, 2009'",'897','559','912'
"'Sep 21, 2009'",'544','807','335'
"'Sep 22, 2009'",'393','213','731'
"'Sep 23, 2009'",'671','215','453'
"'Sep 24, 2009'",'329','832','669'
"'Sep 25, 2009'",'781','927','294'
"'Sep 26, 2009'",'671','442','956'
"'Sep 27, 2009'",'012','266','850'
"'Sep 28, 2009'",'452','798','586'
"'Sep 29, 2009'",'680','060','763'
"'Sep 30, 2009'",'085','833','178'
"'Oct 01, 2009'",'107','138','188'
"'Oct 02, 2009'",'600','713','675'
"'Oct 03, 2009'",'457','382','495'
"'Oct 04, 2009'",'631','858','747'
"'Oct 05, 2009'",'409','105','168'
"'Oct 06, 2009'",'562','317','459'
"'Oct 07, 2009'",'586','453','498'
"'Oct 08, 2009'",'569','393','428'
"'Oct 09, 2009'",'859','000','305'
"'Oct 10, 2009'",'729','617','054'
"'Oct 11, 2009'",'617','995','881'
