date,twoPM,fourPM,ninePM
"'Oct 27, 2010'",'917','421','834'
"'Oct 28, 2010'",'780','904','132'
"'Oct 29, 2010'",'822','063','142'
"'Oct 30, 2010'",'909','342','408'
"'Oct 31, 2010'",'678','094','186'
"'Nov 01, 2010'",'023','016','193'
"'Nov 02, 2010'",'668','839','391'
"'Nov 03, 2010'",'931','731','110'
"'Nov 04, 2010'",'842','539','623'
"'Nov 05, 2010'",'090','256','457'
"'Nov 06, 2010'",'929','787','439'
"'Nov 07, 2010'",'905','066','523'
"'Nov 08, 2010'",'012','588','260'
"'Nov 09, 2010'",'126','615','967'
"'Nov 10, 2010'",'799','161','534'
"'Nov 11, 2010'",'297','915','920'
"'Nov 12, 2010'",'451','974','226'
"'Nov 13, 2010'",'151','268','246'
"'Nov 14, 2010'",'268','166','286'
"'Nov 15, 2010'",'108','382','457'
"'Nov 16, 2010'",'372','438','383'
"'Nov 17, 2010'",'131','170','634'
"'Nov 18, 2010'",'516','447','421'
"'Nov 19, 2010'",'115','765','523'
"'Nov 20, 2010'",'158','649','381'
"'Nov 21, 2010'",'539','222','097'
"'Nov 22, 2010'",'702','170','055'
"'Nov 23, 2010'",'744','657','425'
"'Nov 24, 2010'",'671','285','881'
"'Nov 25, 2010'",'174','195','214'
"'Nov 26, 2010'",'600','776','106'
"'Nov 27, 2010'",'138','046','606'
"'Nov 28, 2010'",'860','511','137'
"'Nov 29, 2010'",'254','312','302'
"'Nov 30, 2010'",'112','801','322'
"'Dec 01, 2010'",'124','816','544'
"'Dec 02, 2010'",'340','579','127'
"'Dec 03, 2010'",'211','717','387'
"'Dec 04, 2010'",'228','158','780'
"'Dec 05, 2010'",'273','567','002'
"'Dec 06, 2010'",'342','166','632'
"'Dec 07, 2010'",'794','470','859'
"'Dec 08, 2010'",'675','688','345'
"'Dec 09, 2010'",'162','091','158'
"'Dec 10, 2010'",'718','119','050'
"'Dec 11, 2010'",'700','286','596'
"'Dec 12, 2010'",'637','806','285'
"'Dec 13, 2010'",'719','419','384'
"'Dec 14, 2010'",'202','194','253'
"'Dec 15, 2010'",'427','009','686'
"'Dec 16, 2010'",'208','827','341'
"'Dec 17, 2010'",'111','289','572'
"'Dec 18, 2010'",'400','141','344'
"'Dec 19, 2010'",'572','197','046'
"'Dec 20, 2010'",'717','588','823'
"'Dec 21, 2010'",'057','365','933'
"'Dec 22, 2010'",'738','395','841'
"'Dec 23, 2010'",'519','984','645'
"'Dec 24, 2010'",'779','962','414'
"'Dec 25, 2010'",'N/D','N/D','N/D'
"'Dec 26, 2010'",'051','975','202'
"'Dec 27, 2010'",'705','036','629'
"'Dec 28, 2010'",'958','872','756'
"'Dec 29, 2010'",'676','662','239'
"'Dec 30, 2010'",'015','662','767'
"'Dec 31, 2010'",'952','444','326'
"'Jan 01, 2011'",'N/D','N/D','N/D'
"'Jan 02, 2011'",'723','471','804'
"'Jan 03, 2011'",'636','671','514'
"'Jan 04, 2011'",'462','324','452'
"'Jan 05, 2011'",'884','449','980'
"'Jan 06, 2011'",'969','211','636'
"'Jan 07, 2011'",'906','176','032'
"'Jan 08, 2011'",'343','740','388'
"'Jan 09, 2011'",'928','703','338'
"'Jan 10, 2011'",'605','828','947'
"'Jan 11, 2011'",'580','739','332'
"'Jan 12, 2011'",'951','214','525'
"'Jan 13, 2011'",'046','724','162'
"'Jan 14, 2011'",'801','820','938'
"'Jan 15, 2011'",'957','705','927'
"'Jan 16, 2011'",'193','849','840'
"'Jan 17, 2011'",'941','884','205'
"'Jan 18, 2011'",'070','022','674'
"'Jan 19, 2011'",'857','993','815'
"'Jan 20, 2011'",'932','237','148'
"'Jan 21, 2011'",'087','720','362'
"'Jan 22, 2011'",'926','684','283'
"'Jan 23, 2011'",'994','600','285'
"'Jan 24, 2011'",'021','759','604'
"'Jan 25, 2011'",'045','863','593'
"'Jan 26, 2011'",'017','314','097'
"'Jan 27, 2011'",'271','223','361'
"'Jan 28, 2011'",'323','976','469'
"'Jan 29, 2011'",'617','687','006'
"'Jan 30, 2011'",'460','917','480'
"'Jan 31, 2011'",'025','582','439'
"'Feb 01, 2011'",'850','471','171'
"'Feb 02, 2011'",'481','575','627'
"'Feb 03, 2011'",'158','906','888'
"'Feb 04, 2011'",'396','676','642'
"'Feb 05, 2011'",'872','279','784'
"'Feb 06, 2011'",'788','354','244'
"'Feb 07, 2011'",'425','788','503'
"'Feb 08, 2011'",'444','275','170'
"'Feb 09, 2011'",'475','238','193'
"'Feb 10, 2011'",'077','871','924'
"'Feb 11, 2011'",'937','835','449'
"'Feb 12, 2011'",'052','340','820'
"'Feb 13, 2011'",'397','189','668'
"'Feb 14, 2011'",'947','449','278'
"'Feb 15, 2011'",'054','235','215'
"'Feb 16, 2011'",'970','027','168'
"'Feb 17, 2011'",'855','582','972'
"'Feb 18, 2011'",'163','518','872'
"'Feb 19, 2011'",'146','612','534'
"'Feb 20, 2011'",'311','291','422'
"'Feb 21, 2011'",'689','638','752'
"'Feb 22, 2011'",'288','427','972'
"'Feb 23, 2011'",'546','534','094'
"'Feb 24, 2011'",'512','981','793'
"'Feb 25, 2011'",'586','646','014'
"'Feb 26, 2011'",'778','457','124'
"'Feb 27, 2011'",'956','205','382'
"'Feb 28, 2011'",'427','595','068'
"'Mar 01, 2011'",'943','453','794'
"'Mar 02, 2011'",'699','837','033'
"'Mar 03, 2011'",'341','652','497'
"'Mar 04, 2011'",'503','518','940'
"'Mar 05, 2011'",'101','714','869'
"'Mar 06, 2011'",'873','286','384'
"'Mar 07, 2011'",'490','886','641'
"'Mar 08, 2011'",'376','886','436'
"'Mar 09, 2011'",'582','619','159'
"'Mar 10, 2011'",'106','774','218'
"'Mar 11, 2011'",'611','746','227'
"'Mar 12, 2011'",'307','824','318'
"'Mar 13, 2011'",'376','026','217'
"'Mar 14, 2011'",'826','125','825'
"'Mar 15, 2011'",'007','573','554'
"'Mar 16, 2011'",'016','148','960'
"'Mar 17, 2011'",'437','340','341'
"'Mar 18, 2011'",'171','601','127'
"'Mar 19, 2011'",'976','517','661'
"'Mar 20, 2011'",'615','955','962'
"'Mar 21, 2011'",'892','811','164'
"'Mar 22, 2011'",'149','648','918'
"'Mar 23, 2011'",'715','234','617'
"'Mar 24, 2011'",'956','299','866'
"'Mar 25, 2011'",'217','568','430'
"'Mar 26, 2011'",'955','292','374'
"'Mar 27, 2011'",'359','694','924'
"'Mar 28, 2011'",'131','920','484'
"'Mar 29, 2011'",'109','302','530'
"'Mar 30, 2011'",'658','873','801'
"'Mar 31, 2011'",'620','069','022'
"'Apr 01, 2011'",'100','266','256'
"'Apr 02, 2011'",'686','971','898'
"'Apr 03, 2011'",'132','711','634'
"'Apr 04, 2011'",'174','013','227'
"'Apr 05, 2011'",'247','408','991'
"'Apr 06, 2011'",'463','899','412'
"'Apr 07, 2011'",'763','452','219'
"'Apr 08, 2011'",'916','950','065'
"'Apr 09, 2011'",'932','455','787'
"'Apr 10, 2011'",'264','659','135'
"'Apr 11, 2011'",'037','610','377'
"'Apr 12, 2011'",'549','058','717'
"'Apr 13, 2011'",'273','052','703'
"'Apr 14, 2011'",'075','232','186'
"'Apr 15, 2011'",'628','344','938'
"'Apr 16, 2011'",'708','449','860'
"'Apr 17, 2011'",'931','178','071'
"'Apr 18, 2011'",'296','697','383'
"'Apr 19, 2011'",'768','989','243'
"'Apr 20, 2011'",'164','033','756'
"'Apr 21, 2011'",'N/D','N/D','N/D'
"'Apr 22, 2011'",'N/D','N/D','N/D'
"'Apr 23, 2011'",'N/D','N/D','N/D'
"'Apr 24, 2011'",'N/D','N/D','N/D'
"'Apr 25, 2011'",'872','402','739'
"'Apr 26, 2011'",'372','150','397'
"'Apr 27, 2011'",'617','177','474'
"'Apr 28, 2011'",'338','131','386'
"'Apr 29, 2011'",'493','176','208'
"'Apr 30, 2011'",'682','304','588'
"'May 01, 2011'",'604','996','469'
"'May 02, 2011'",'510','076','387'
"'May 03, 2011'",'755','895','914'
"'May 04, 2011'",'325','545','278'
"'May 05, 2011'",'119','903','408'
"'May 06, 2011'",'231','593','627'
"'May 07, 2011'",'890','010','533'
"'May 08, 2011'",'446','734','067'
"'May 09, 2011'",'126','874','594'
"'May 10, 2011'",'055','989','618'
"'May 11, 2011'",'789','246','761'
"'May 12, 2011'",'928','310','574'
"'May 13, 2011'",'924','100','859'
"'May 14, 2011'",'726','848','988'
"'May 15, 2011'",'837','840','118'
"'May 16, 2011'",'048','129','193'
"'May 17, 2011'",'664','194','697'
"'May 18, 2011'",'695','669','954'
"'May 19, 2011'",'161','125','908'
"'May 20, 2011'",'784','728','933'
"'May 21, 2011'",'895','477','199'
"'May 22, 2011'",'764','760','497'
"'May 23, 2011'",'764','382','352'
"'May 24, 2011'",'227','216','958'
"'May 25, 2011'",'425','879','134'
"'May 26, 2011'",'441','473','556'
"'May 27, 2011'",'164','534','957'
"'May 28, 2011'",'863','743','397'
"'May 29, 2011'",'888','735','499'
"'May 30, 2011'",'089','355','618'
"'May 31, 2011'",'001','193','913'
"'Jun 01, 2011'",'228','091','483'
"'Jun 02, 2011'",'951','671','482'
"'Jun 03, 2011'",'035','190','545'
"'Jun 04, 2011'",'348','537','189'
"'Jun 05, 2011'",'520','199','311'
"'Jun 06, 2011'",'704','338','498'
"'Jun 07, 2011'",'059','060','391'
"'Jun 08, 2011'",'435','792','975'
"'Jun 09, 2011'",'190','620','260'
"'Jun 10, 2011'",'470','858','865'
"'Jun 11, 2011'",'660','554','736'
"'Jun 12, 2011'",'721','901','467'
"'Jun 13, 2011'",'023','452','008'
"'Jun 14, 2011'",'982','521','007'
"'Jun 15, 2011'",'986','010','384'
"'Jun 16, 2011'",'971','137','706'
"'Jun 17, 2011'",'350','343','758'
"'Jun 18, 2011'",'129','645','695'
"'Jun 19, 2011'",'160','104','827'
"'Jun 20, 2011'",'696','444','429'
"'Jun 21, 2011'",'427','288','990'
"'Jun 22, 2011'",'289','820','321'
"'Jun 23, 2011'",'457','670','635'
"'Jun 24, 2011'",'453','674','913'
"'Jun 25, 2011'",'422','561','111'
"'Jun 26, 2011'",'507','399','171'
"'Jun 27, 2011'",'537','336','796'
"'Jun 28, 2011'",'627','902','283'
"'Jun 29, 2011'",'087','187','245'
"'Jun 30, 2011'",'816','624','430'
"'Jul 01, 2011'",'160','852','021'
"'Jul 02, 2011'",'836','661','190'
"'Jul 03, 2011'",'730','840','831'
"'Jul 04, 2011'",'924','803','270'
"'Jul 05, 2011'",'542','660','393'
"'Jul 06, 2011'",'667','565','202'
"'Jul 07, 2011'",'226','329','568'
"'Jul 08, 2011'",'841','056','308'
"'Jul 09, 2011'",'661','542','133'
"'Jul 10, 2011'",'425','475','090'
"'Jul 11, 2011'",'439','603','040'
"'Jul 12, 2011'",'408','369','401'
"'Jul 13, 2011'",'251','270','983'
"'Jul 14, 2011'",'397','833','650'
"'Jul 16, 2011'",'163','542','825'
"'Jul 17, 2011'",'724','075','038'
"'Jul 18, 2011'",'157','676','941'
"'Jul 19, 2011'",'141','999','985'
"'Jul 20, 2011'",'798','181','358'
"'Jul 21, 2011'",'728','926','529'
"'Jul 22, 2011'",'170','917','854'
"'Jul 23, 2011'",'317','498','292'
"'Jul 24, 2011'",'276','698','659'
"'Jul 25, 2011'",'841','487','131'
"'Jul 26, 2011'",'003','277','656'
"'Jul 27, 2011'",'899','165','733'
"'Jul 28, 2011'",'608','889','872'
"'Jul 29, 2011'",'669','650','456'
"'Jul 30, 2011'",'547','699','218'
"'Jul 31, 2011'",'789','732','456'
"'Aug 01, 2011'",'787','722','437'
"'Aug 02, 2011'",'592','316','745'
"'Aug 03, 2011'",'345','547','297'
"'Aug 04, 2011'",'905','327','680'
"'Aug 05, 2011'",'990','818','496'
"'Aug 06, 2011'",'629','701','539'
"'Aug 07, 2011'",'978','662','635'
"'Aug 08, 2011'",'938','396','542'
"'Aug 09, 2011'",'563','517','297'
"'Aug 10, 2011'",'281','517','085'
"'Aug 11, 2011'",'210','073','957'
"'Aug 12, 2011'",'360','523','719'
"'Aug 13, 2011'",'476','448','734'
"'Aug 14, 2011'",'728','919','089'
"'Aug 15, 2011'",'474','525','444'
"'Aug 16, 2011'",'560','745','537'
"'Aug 17, 2011'",'756','352','292'
"'Aug 18, 2011'",'646','399','057'
"'Aug 19, 2011'",'170','393','335'
"'Aug 20, 2011'",'543','276','037'
"'Aug 21, 2011'",'124','042','879'
"'Aug 22, 2011'",'167','747','558'
"'Aug 23, 2011'",'412','441','655'
"'Aug 24, 2011'",'006','983','918'
"'Aug 25, 2011'",'925','006','590'
"'Aug 26, 2011'",'195','068','243'
"'Aug 27, 2011'",'987','042','116'
"'Aug 28, 2011'",'599','481','322'
"'Aug 29, 2011'",'108','009','523'
"'Aug 30, 2011'",'937','156','598'
"'Aug 31, 2011'",'483','321','242'
"'Sep 01, 2011'",'319','649','174'
"'Sep 02, 2011'",'258','621','532'
"'Sep 03, 2011'",'441','587','083'
"'Sep 04, 2011'",'179','549','353'
"'Sep 05, 2011'",'583','410','771'
"'Sep 06, 2011'",'567','036','125'
"'Sep 07, 2011'",'391','971','014'
"'Sep 08, 2011'",'859','596','471'
"'Sep 09, 2011'",'391','496','954'
"'Sep 10, 2011'",'707','406','605'
"'Sep 11, 2011'",'681','830','707'
"'Sep 12, 2011'",'174','855','682'
"'Sep 13, 2011'",'400','894','896'
"'Sep 14, 2011'",'091','292','590'
"'Sep 15, 2011'",'895','617','317'
"'Sep 16, 2011'",'236','984','826'
"'Sep 17, 2011'",'613','734','103'
"'Sep 18, 2011'",'273','713','238'
"'Sep 19, 2011'",'678','218','451'
"'Sep 20, 2011'",'141','157','017'
"'Sep 21, 2011'",'283','684','676'
"'Sep 22, 2011'",'857','732','059'
"'Sep 23, 2011'",'099','928','578'
"'Sep 24, 2011'",'736','455','387'
"'Sep 25, 2011'",'380','519','262'
"'Sep 26, 2011'",'923','427','255'
"'Sep 27, 2011'",'442','458','096'
"'Sep 28, 2011'",'376','481','246'
"'Sep 29, 2011'",'045','481','384'
"'Sep 30, 2011'",'205','658','199'
"'Oct 01, 2011'",'708','459','979'
"'Oct 02, 2011'",'019','931','942'
"'Oct 03, 2011'",'995','237','481'
"'Oct 04, 2011'",'018','474','204'
"'Oct 05, 2011'",'347','700','119'
"'Oct 06, 2011'",'836','508','225'
"'Oct 07, 2011'",'775','740','374'
"'Oct 08, 2011'",'148','979','008'
"'Oct 09, 2011'",'276','887','507'
"'Oct 10, 2011'",'745','501','622'
"'Oct 11, 2011'",'776','474','898'
"'Oct 12, 2011'",'016','048','116'
"'Oct 13, 2011'",'277','987','661'
"'Oct 14, 2011'",'444','205','524'
"'Oct 15, 2011'",'902','777','346'
"'Oct 16, 2011'",'721','003','438'
"'Oct 17, 2011'",'632','680','477'
"'Oct 18, 2011'",'665','450','428'
"'Oct 19, 2011'",'554','485','069'
"'Oct 20, 2011'",'038','397','697'
"'Oct 21, 2011'",'367','707','326'
"'Oct 22, 2011'",'207','648','272'
"'Oct 23, 2011'",'141','780','399'
"'Oct 24, 2011'",'526','375','636'
"'Oct 25, 2011'",'166','589','740'
"'Oct 26, 2011'",'106','733','189'
"'Oct 27, 2011'",'313','845','274'
"'Oct 28, 2011'",'760','691','409'
"'Oct 29, 2011'",'091','590','075'
"'Oct 30, 2011'",'886','734','320'
"'Oct 31, 2011'",'641','523','744'
"'Nov 01, 2011'",'609','068','399'
"'Nov 02, 2011'",'584','912','216'
"'Nov 03, 2011'",'888','145','536'
"'Nov 04, 2011'",'017','848','927'
"'Nov 05, 2011'",'362','305','085'
"'Nov 06, 2011'",'420','279','334'
"'Nov 07, 2011'",'177','625','235'
"'Nov 08, 2011'",'762','372','290'
"'Nov 09, 2011'",'305','455','215'
"'Nov 10, 2011'",'641','276','285'
"'Nov 11, 2011'",'243','024','348'
"'Nov 12, 2011'",'565','423','860'
"'Nov 13, 2011'",'693','346','523'
"'Nov 14, 2011'",'353','307','176'
"'Nov 15, 2011'",'723','299','876'
"'Nov 16, 2011'",'991','978','157'
"'Nov 17, 2011'",'878','558','554'
"'Nov 18, 2011'",'424','615','481'
"'Nov 19, 2011'",'423','425','948'
"'Nov 20, 2011'",'533','474','339'
"'Nov 21, 2011'",'177','056','578'
"'Nov 22, 2011'",'308','441','404'
"'Nov 23, 2011'",'789','216','582'
"'Nov 24, 2011'",'503','797','327'
"'Nov 25, 2011'",'340','647','230'
"'Nov 26, 2011'",'600','174','727'
"'Nov 27, 2011'",'169','206','170'
"'Nov 28, 2011'",'904','528','062'
"'Nov 29, 2011'",'064','770','497'
"'Nov 30, 2011'",'626','653','867'
"'Dec 01, 2011'",'750','803','804'
"'Dec 02, 2011'",'539','550','705'
"'Dec 03, 2011'",'325','229','444'
"'Dec 04, 2011'",'481','023','990'
"'Dec 05, 2011'",'308','771','869'
"'Dec 06, 2011'",'990','117','479'
"'Dec 07, 2011'",'025','911','771'
"'Dec 08, 2011'",'595','135','852'
"'Dec 09, 2011'",'680','935','076'
"'Dec 10, 2011'",'038','396','842'
"'Dec 11, 2011'",'617','798','075'
"'Dec 12, 2011'",'093','584','481'
"'Dec 13, 2011'",'292','431','707'
"'Dec 14, 2011'",'290','251','626'
"'Dec 15, 2011'",'985','780','825'
"'Dec 16, 2011'",'510','110','121'
"'Dec 17, 2011'",'035','716','230'
"'Dec 18, 2011'",'479','592','289'
"'Dec 19, 2011'",'609','980','199'
"'Dec 20, 2011'",'502','773','560'
"'Dec 21, 2011'",'540','303','933'
"'Dec 22, 2011'",'983','297','132'
"'Dec 23, 2011'",'208','409','004'
"'Dec 24, 2011'",'478','130','058'
"'Dec 25, 2011'",'N/D','N/D','N/D'
"'Dec 26, 2011'",'995','521','310'
"'Dec 27, 2011'",'648','468','920'
"'Dec 28, 2011'",'609','749','773'
"'Dec 29, 2011'",'125','574','538'
"'Dec 30, 2011'",'459','334','894'
"'Dec 31, 2011'",'396','340','092'
"'Jan 01, 2012'",'N/D','N/D','N/D'
"'Jan 02, 2012'",'360','393','514'
"'Jan 03, 2012'",'176','236','077'
"'Jan 04, 2012'",'366','686','883'
"'Jan 05, 2012'",'156','132','259'
"'Jan 06, 2012'",'220','171','018'
"'Jan 07, 2012'",'499','506','100'
"'Jan 08, 2012'",'239','284','161'
"'Jan 09, 2012'",'674','813','260'
"'Jan 10, 2012'",'176','314','499'
"'Jan 11, 2012'",'529','008','203'
"'Jan 12, 2012'",'032','266','522'
"'Jan 13, 2012'",'482','176','921'
"'Jan 14, 2012'",'479','632','083'
"'Jan 15, 2012'",'043','959','498'
"'Jan 16, 2012'",'537','746','885'
"'Jan 17, 2012'",'389','058','663'
"'Jan 18, 2012'",'956','791','037'
"'Jan 19, 2012'",'234','598','181'
"'Jan 20, 2012'",'349','844','640'
"'Jan 21, 2012'",'231','176','783'
"'Jan 22, 2012'",'852','204','871'
"'Jan 23, 2012'",'054','959','323'
"'Jan 24, 2012'",'619','378','483'
"'Jan 25, 2012'",'783','917','535'
"'Jan 26, 2012'",'115','182','376'
"'Jan 27, 2012'",'501','280','482'
"'Jan 28, 2012'",'630','448','247'
"'Jan 29, 2012'",'023','009','053'
"'Jan 30, 2012'",'125','470','717'
"'Jan 31, 2012'",'254','986','706'
"'Feb 01, 2012'",'961','686','160'
"'Feb 02, 2012'",'451','235','272'
"'Feb 03, 2012'",'820','885','111'
"'Feb 04, 2012'",'916','893','246'
"'Feb 05, 2012'",'913','030','133'
"'Feb 06, 2012'",'145','915','923'
"'Feb 07, 2012'",'957','065','150'
"'Feb 08, 2012'",'680','148','248'
"'Feb 09, 2012'",'140','862','435'
"'Feb 10, 2012'",'078','568','019'
"'Feb 11, 2012'",'848','059','256'
"'Feb 12, 2012'",'166','244','852'
"'Feb 13, 2012'",'687','173','274'
"'Feb 14, 2012'",'944','747','058'
"'Feb 15, 2012'",'583','404','578'
"'Feb 16, 2012'",'133','005','282'
"'Feb 17, 2012'",'087','651','731'
"'Feb 18, 2012'",'845','473','190'
"'Feb 19, 2012'",'522','468','949'
"'Feb 20, 2012'",'452','533','741'
"'Feb 21, 2012'",'369','850','412'
"'Feb 22, 2012'",'264','337','161'
"'Feb 23, 2012'",'897','915','531'
"'Feb 24, 2012'",'328','241','987'
"'Feb 25, 2012'",'434','132','091'
"'Feb 26, 2012'",'332','675','742'
"'Feb 27, 2012'",'182','759','945'
"'Feb 28, 2012'",'228','432','676'
"'Feb 29, 2012'",'869','483','412'
"'Mar 01, 2012'",'135','380','518'
"'Mar 02, 2012'",'536','783','710'
"'Mar 03, 2012'",'959','632','837'
"'Mar 04, 2012'",'372','214','689'
"'Mar 05, 2012'",'011','937','581'
"'Mar 06, 2012'",'033','778','900'
"'Mar 07, 2012'",'352','437','833'
"'Mar 08, 2012'",'886','311','723'
"'Mar 09, 2012'",'831','158','625'
"'Mar 10, 2012'",'422','412','102'
"'Mar 11, 2012'",'607','068','975'
"'Mar 12, 2012'",'664','492','970'
"'Mar 13, 2012'",'587','554','369'
"'Mar 14, 2012'",'488','072','191'
"'Mar 15, 2012'",'601','162','614'
"'Mar 16, 2012'",'354','310','736'
"'Mar 17, 2012'",'119','880','663'
"'Mar 18, 2012'",'061','500','537'
"'Mar 19, 2012'",'020','434','284'
"'Mar 20, 2012'",'929','642','954'
"'Mar 21, 2012'",'879','800','658'
"'Mar 22, 2012'",'776','480','772'
"'Mar 23, 2012'",'374','525','332'
"'Mar 24, 2012'",'241','129','929'
"'Mar 25, 2012'",'817','646','747'
"'Mar 26, 2012'",'646','186','375'
"'Mar 27, 2012'",'697','077','911'
"'Mar 28, 2012'",'473','352','155'
"'Mar 29, 2012'",'135','588','580'
"'Mar 30, 2012'",'486','869','504'
"'Mar 31, 2012'",'450','533','473'
"'Apr 01, 2012'",'233','466','049'
"'Apr 02, 2012'",'162','762','585'
"'Apr 03, 2012'",'537','253','805'
"'Apr 04, 2012'",'886','792','336'
"'Apr 05, 2012'",'N/D','N/D','N/D'
"'Apr 06, 2012'",'N/D','N/D','N/D'
"'Apr 07, 2012'",'N/D','N/D','N/D'
"'Apr 08, 2012'",'N/D','N/D','N/D'
"'Apr 09, 2012'",'305','081','596'
"'Apr 10, 2012'",'918','768','930'
"'Apr 11, 2012'",'627','129','149'
"'Apr 12, 2012'",'705','765','048'
"'Apr 13, 2012'",'008','984','777'
"'Apr 14, 2012'",'320','513','533'
"'Apr 15, 2012'",'917','490','363'
"'Apr 16, 2012'",'002','961','417'
"'Apr 17, 2012'",'178','454','910'
"'Apr 18, 2012'",'703','358','264'
"'Apr 19, 2012'",'084','597','975'
"'Apr 20, 2012'",'386','800','586'
"'Apr 21, 2012'",'433','334','169'
"'Apr 22, 2012'",'927','782','413'
"'Apr 23, 2012'",'559','934','651'
"'Apr 24, 2012'",'356','535','372'
"'Apr 25, 2012'",'083','208','862'
"'Apr 26, 2012'",'098','989','231'
"'Apr 27, 2012'",'445','503','976'
"'Apr 28, 2012'",'523','645','048'
"'Apr 29, 2012'",'N/D','N/D','N/D'
"'Apr 30, 2012'",'N/D','N/D','N/D'
"'May 01, 2012'",'982','964','975'
"'May 02, 2012'",'683','867','914'
"'May 03, 2012'",'716','928','745'
"'May 04, 2012'",'882','053','860'
"'May 05, 2012'",'825','136','983'
"'May 06, 2012'",'308','250','091'
"'May 07, 2012'",'921','388','493'
"'May 08, 2012'",'056','383','640'
"'May 09, 2012'",'896','019','912'
"'May 10, 2012'",'050','214','189'
"'May 11, 2012'",'447','512','318'
"'May 12, 2012'",'615','882','889'
"'May 13, 2012'",'684','667','448'
"'May 14, 2012'",'323','486','900'
"'May 15, 2012'",'657','849','890'
"'May 16, 2012'",'170','135','111'
"'May 17, 2012'",'160','113','055'
"'May 18, 2012'",'463','659','388'
"'May 19, 2012'",'860','410','798'
"'May 20, 2012'",'973','529','523'
"'May 21, 2012'",'925','644','709'
"'May 22, 2012'",'396','507','669'
"'May 23, 2012'",'703','394','956'
"'May 24, 2012'",'027','997','465'
"'May 25, 2012'",'786','027','040'
"'May 26, 2012'",'372','963','256'
"'May 27, 2012'",'799','231','990'
"'May 28, 2012'",'734','113','254'
"'May 29, 2012'",'387','346','626'
"'May 30, 2012'",'844','108','035'
"'May 31, 2012'",'461','610','757'
"'Jun 01, 2012'",'573','009','696'
"'Jun 02, 2012'",'896','571','186'
"'Jun 03, 2012'",'588','426','164'
"'Jun 04, 2012'",'625','193','049'
"'Jun 05, 2012'",'585','626','514'
"'Jun 06, 2012'",'374','177','691'
"'Jun 07, 2012'",'374','366','990'
"'Jun 08, 2012'",'015','192','573'
"'Jun 09, 2012'",'200','590','071'
"'Jun 10, 2012'",'967','006','383'
"'Jun 11, 2012'",'881','441','013'
"'Jun 12, 2012'",'831','367','769'
"'Jun 13, 2012'",'593','517','119'
"'Jun 14, 2012'",'482','447','788'
"'Jun 15, 2012'",'621','541','058'
"'Jun 16, 2012'",'841','481','817'
"'Jun 17, 2012'",'030','037','242'
"'Jun 18, 2012'",'995','758','586'
"'Jun 19, 2012'",'369','511','527'
"'Jun 20, 2012'",'932','925','517'
"'Jun 21, 2012'",'615','234','796'
"'Jun 22, 2012'",'368','482','263'
"'Jun 23, 2012'",'864','733','400'
"'Jun 24, 2012'",'014','094','867'
"'Jun 25, 2012'",'186','082','448'
"'Jun 26, 2012'",'039','875','356'
"'Jun 27, 2012'",'856','835','724'
"'Jun 28, 2012'",'686','933','173'
"'Jun 29, 2012'",'181','543','386'
"'Jun 30, 2012'",'707','250','367'
"'Jul 01, 2012'",'765','965','199'
"'Jul 02, 2012'",'765','616','849'
"'Jul 03, 2012'",'136','586','797'
"'Jul 04, 2012'",'998','562','479'
"'Jul 05, 2012'",'523','905','423'
"'Jul 06, 2012'",'973','346','185'
"'Jul 07, 2012'",'166','352','377'
"'Jul 08, 2012'",'489','146','728'
"'Jul 09, 2012'",'022','204','156'
"'Jul 10, 2012'",'548','376','318'
"'Jul 11, 2012'",'834','249','258'
"'Jul 12, 2012'",'098','888','363'
"'Jul 13, 2012'",'444','693','318'
"'Jul 14, 2012'",'260','705','390'
"'Jul 16, 2012'",'142','172','921'
"'Jul 17, 2012'",'811','871','223'
"'Jul 18, 2012'",'171','123','289'
"'Jul 19, 2012'",'758','853','687'
"'Jul 20, 2012'",'058','482','646'
"'Jul 21, 2012'",'392','077','114'
"'Jul 22, 2012'",'663','608','434'
"'Jul 23, 2012'",'132','514','166'
"'Jul 24, 2012'",'952','921','946'
"'Jul 25, 2012'",'080','253','215'
"'Jul 26, 2012'",'916','095','638'
"'Jul 27, 2012'",'332','881','234'
"'Jul 28, 2012'",'488','892','265'
"'Jul 29, 2012'",'972','860','787'
"'Jul 30, 2012'",'220','091','219'
"'Jul 31, 2012'",'672','672','187'
"'Aug 01, 2012'",'294','469','121'
"'Aug 02, 2012'",'807','788','470'
"'Aug 03, 2012'",'097','547','171'
"'Aug 04, 2012'",'706','763','761'
"'Aug 05, 2012'",'742','640','275'
"'Aug 06, 2012'",'975','041','199'
"'Aug 07, 2012'",'048','931','221'
"'Aug 08, 2012'",'772','965','039'
"'Aug 09, 2012'",'607','359','560'
"'Aug 10, 2012'",'830','811','086'
"'Aug 11, 2012'",'416','564','528'
"'Aug 12, 2012'",'608','024','169'
"'Aug 13, 2012'",'939','322','437'
"'Aug 14, 2012'",'735','222','127'
"'Aug 15, 2012'",'715','291','242'
"'Aug 16, 2012'",'479','720','553'
"'Aug 17, 2012'",'115','626','074'
"'Aug 18, 2012'",'588','783','302'
"'Aug 19, 2012'",'009','987','724'
"'Aug 20, 2012'",'633','356','583'
"'Aug 21, 2012'",'655','161','516'
"'Aug 22, 2012'",'525','220','102'
"'Aug 23, 2012'",'590','262','539'
"'Aug 24, 2012'",'047','143','069'
"'Aug 25, 2012'",'322','146','450'
